Symbol,Company Name,Industry,Market Cap
AUBN,Auburn National Bancorporation,Banks - Regional,66030363
AUDC,AudioCodes,Communication Equipment,384995816
AUGX,Augmedix,Medical - Healthcare Information Services,203732113
AUID,authID,Software - Infrastructure,72766694
AULT,Ault Alliance,Aerospace & Defense,10753896
AUMN,Golden Minerals Company,Other Precious Metals & Mining,8394221
AUNA,Auna S.A.,Medical Care Facilities,682998411
AUPH,Aurinia Pharmaceuticals,Biotechnology,749121240
AUR,Aurora Innovation,Information Technology Services,4636513624
AURA,Aura Biosciences,Biotechnology,361382164
AUST,Austin Gold,Gold,18580450
AUTL,Autolus Therapeutics,Biotechnology,955816472
AUUD,Auddia,Software - Application,1308800
AUVI,Applied UV,"Furnishings, Fixtures & Appliances",1070782
